Date,Type,Link
2024-02-27 04:15:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7168065229480714240?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7168065229480714240%2C7168096040699588608%29
2024-02-27 03:59:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7168065229480714240
2024-02-27 03:51:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7168082279968264193
2024-02-27 03:46:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7167853802488881152
2024-02-26 18:33:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7167918051114393600
2024-02-26 14:09:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7167852808224927744
2024-02-26 04:17:31,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7167726330665496576
2024-02-26 02:38:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7167500869893079040
2024-02-25 06:30:30,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165716147848388609
2024-02-25 06:30:27,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7167384357219811328
2024-02-24 04:01:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166988382357610497
2024-02-24 04:00:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166969598938996736
2024-02-23 16:27:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166779157291503619
2024-02-23 16:22:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166824750273474560
2024-02-23 13:09:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166680188540338177
2024-02-23 05:23:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166589515002793985
2024-02-23 04:52:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166526577772589056
2024-02-23 04:45:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166650570198487040
2024-02-22 17:59:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166461071371751424
2024-02-22 16:36:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166392013913899008
2024-02-22 16:36:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166408981538668544
2024-02-22 16:36:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166430159594479616
2024-02-22 14:23:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166421633849585664
2024-02-22 14:21:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166387085929639936
2024-02-22 14:18:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166380537312395264
2024-02-22 13:32:41,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166416377208160256
2024-02-22 11:22:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7163422807878529024
2024-02-22 11:22:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163495419921047552
2024-02-22 11:22:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7164160758795206656
2024-02-22 11:21:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165251022024622080
2024-02-22 11:21:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165578408796618753
2024-02-22 11:21:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165648161120702464
2024-02-22 11:21:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165704050301153281
2024-02-22 11:21:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165952337998503936
2024-02-22 11:21:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166022968479830016
2024-02-22 11:21:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166324042961006592
2024-02-22 08:38:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166299985251168257
2024-02-22 08:38:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166308054538280960
2024-02-21 18:18:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7164672956210618368%2C7164672958714613761%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7164672956210618368%2C7164672958714613761%29%2C7165306677058117633%29
2024-02-21 17:42:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AlyndaCourse%3A2449345
2024-02-21 13:19:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165968470650646528
2024-02-21 12:08:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166000230440550400
2024-02-21 11:49:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165541612524163075
2024-02-21 11:49:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165902632157478913
2024-02-21 11:44:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165974831946047488
2024-02-21 11:43:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165982440522559489?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7165982440522559489%2C7166026965362065409%29
2024-02-21 11:02:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165985430323077120
2024-02-21 06:10:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165908751730761728
2024-02-20 10:29:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165421587897171968
